Getting all .java files in /Users/tamycova/SoftwareAnalytics/Lambda/spring-framework including those in subdirectories 
6755 java files in ./spring-framework
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/DynamicIntroductionAdvice.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AbstractAdvisingBeanPostProcessor.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AbstractSingletonProxyFactoryBean.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/AdvisorAdapter.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/AdvisorAdapterRegistrationManager.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/AdvisorAdapterRegistry.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/AfterReturningAdviceAdapter.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/AfterReturningAdviceInterceptor.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/DefaultAdvisorAdapterRegistry.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/GlobalAdvisorAdapterRegistry.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/MethodBeforeAdviceAdapter.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/MethodBeforeAdviceInterceptor.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/package-info.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/ThrowsAdviceAdapter.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/ThrowsAdviceInterceptor.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/adapter/UnknownAdviceTypeException.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/Advised.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupportListener.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisorChainFactory.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AopConfigException.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AopContext.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AopInfrastructureBean.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AopProxy.java
